Team,Conf,NET,Q_SCORE,Q1_W,Q1_L,Q2_W,Q2_L,Q3_W,Q3_L,Q4_W,Q4_L
North Dakota,summit,273,-1.483870968,0,4,0,1,2,7,9,8
North Dakota St,summit,214,-0.903225806,0,5,0,3,3,2,11,7
North Florida,atlantic-sun,236,-1,0,4,0,4,4,3,8,6
North Texas,cusa,36,1.1,1,3,3,1,12,1,8,1
Northeastern,colonial,312,-1.6,0,2,0,4,1,7,9,7
Northern Arizona,big-sky,232,-1.515151515,0,4,0,4,5,7,5,8
Northern Colorado,big-sky,235,-1.193548387,0,4,1,2,0,9,11,4
Northern Illinois,mac,253,-1.066666667,0,3,2,4,0,7,10,4
Northern Iowa,mvc,215,-0.967741935,0,2,0,6,3,8,10,2
Northern Kentucky,horizon,156,-0.1875,0,2,0,3,6,4,14,3
Northwestern,big-ten,41,1.161290323,7,5,4,5,1,0,9,0
Notre Dame,acc,186,-0.96875,0,6,2,5,2,8,7,2
NW State,southland,203,-0.1875,1,3,0,0,2,3,18,5
Oakland,horizon,270,-1.193548387,0,2,0,5,3,8,9,4
Ohio,mac,134,-0.193548387,0,3,1,5,5,2,12,3
Ohio State,big-ten,56,0.272727273,3,12,6,4,0,1,6,1
Oklahoma,big-12,68,0.6875,6,14,3,3,3,0,3,0
Oklahoma State,big-12,42,0.9375,6,11,5,2,2,1,5,0
Old Dominion,sun-belt,153,-0.166666667,0,1,2,3,7,5,9,3
Omaha,summit,317,-1.741935484,0,6,0,3,0,6,8,8
Oral Roberts,summit,37,1,0,4,1,0,6,0,19,0
Oregon,pac-12,44,0.78125,2,8,7,4,5,1,5,0
Oregon State,pac-12,223,-0.709677419,0,10,2,7,2,2,6,2
Pacific,wcc,189,-0.741935484,0,2,1,5,7,6,6,4
Penn State,big-ten,54,0.96875,6,6,4,5,4,1,6,0
Pennsylvania,ivy,141,-0.071428571,0,5,1,2,7,2,8,3
Pepperdine,wcc,201,-1.448275862,0,4,0,9,2,7,5,2
Pittsburgh,acc,67,0.727272727,4,4,3,5,5,1,10,1
Portland,wcc,163,-0.677419355,0,7,1,6,3,5,8,1
Portland State,big-sky,249,-1.448275862,0,2,0,3,4,8,6,6
Prairie View,swac,279,-1.6,0,4,1,0,0,3,10,12
Presbyterian,big-south,352,-2.966666667,0,1,0,2,0,9,3,15
Princeton,ivy,117,0.16,0,1,1,2,7,3,9,2
Providence,big-east,55,0.84375,4,8,3,2,3,1,11,0
Purdue,big-ten,5,2.129032258,9,4,7,1,5,0,5,0
Queens,atlantic-sun,204,-0.8,0,1,1,3,3,7,11,4
Quinnipiac,maac,175,-0.483870968,0,2,1,1,4,0,14,9
Radford,big-south,184,-0.741935484,0,3,0,0,2,5,15,6
Rhode Island,atlantic-10,264,-1.709677419,0,1,1,5,2,9,6,7
Rice,cusa,205,-0.4,1,4,0,5,5,3,9,3
Richmond,atlantic-10,159,-0.757575758,0,3,1,3,5,10,9,2
Rider,maac,216,-0.896551724,1,2,0,1,0,4,14,7
Robert Morris,horizon,247,-1.129032258,0,2,0,1,3,8,11,6
Rutgers,big-ten,38,0.71875,6,6,4,3,2,4,7,0
Sacramento State,big-sky,225,-1.266666667,0,1,0,4,1,10,11,3
Sacred Heart,northeast,326,-1.34375,0,2,0,1,0,2,15,12
Saint Francis (PA),northeast,335,-1.689655172,0,2,0,2,0,2,11,12
Saint Joseph's,atlantic-10,200,-0.696969697,0,2,0,6,4,7,12,2
Saint Louis,atlantic-10,96,0.516129032,0,6,4,2,8,2,8,1
Saint Mary's (CA),wcc,10,1.34375,2,3,7,2,11,2,5,0
Saint Peter's,maac,301,-1.366666667,0,2,0,2,0,4,13,9
Sam Houston State,wac,59,0.888888889,1,3,1,1,10,1,9,1
Samford,southern,137,-0.107142857,0,1,1,3,4,4,13,2
San Diego,wcc,231,-1.310344828,0,5,2,2,2,8,5,5
San Diego State,mwc,16,1.733333333,4,5,5,1,13,0,2,0
San Francisco,wcc,109,0.121212121,0,6,4,3,6,3,9,2
San Jose State,mwc,92,0.677419355,3,7,3,2,7,3,6,0
Santa Clara,wcc,84,0.806451613,1,5,3,1,11,2,7,1
SC State,meac,347,-2.566666667,0,2,0,3,2,9,2,12
SC Upstate,big-south,255,-0.896551724,0,2,0,1,4,8,10,4
SE Louisiana,southland,256,-0.862068966,0,2,0,2,2,4,13,6
SE Missouri St,ovc,243,-0.96969697,0,3,0,0,2,4,15,9
Seattle,wac,143,-0.066666667,1,2,1,3,5,6,11,1
Seton Hall,big-east,78,0.35483871,4,9,2,4,3,1,7,1
Siena,maac,208,-0.96875,0,1,2,0,1,4,14,10
SIU Edwardsville,ovc,220,-0.966666667,0,1,1,1,2,2,13,10
SMU,aac,209,-0.875,1,7,1,8,2,6,6,1
South Alabama,sun-belt,106,-0.363636364,0,5,2,3,5,5,10,3
South Carolina,sec,233,-0.65625,1,9,2,4,2,8,6,0
South Dakota,summit,297,-1.551724138,0,2,1,3,2,5,7,9
South Dakota St,summit,154,-0.225806452,1,4,0,3,2,4,15,2
South Florida,aac,160,-0.71875,1,3,1,5,4,7,8,3
Southern,swac,276,-1.233333333,0,4,0,2,0,2,13,9
Southern Illinois,mvc,121,0.34375,1,2,2,4,6,2,13,2
Southern Indiana,ovc,258,-1.413793103,0,1,0,0,3,4,10,11
Southern Miss,sun-belt,87,0.551724138,1,0,1,4,6,3,14,0
Southern Utah,wac,105,0.178571429,0,5,2,0,7,6,8,0
St Thomas,summit,195,-0.580645161,0,3,0,3,3,3,14,5
St. Bonaventure,atlantic-10,199,-0.96875,1,0,1,4,6,8,6,6
St. Francis (NY),northeast,353,-1.571428571,0,1,0,1,0,3,12,11
St. John's (NY),big-east,98,0.303030303,1,11,1,3,7,1,9,0
Stanford,pac-12,99,-0.181818182,1,11,3,5,2,2,8,1
Stephen F. Austin,wac,138,-0.379310345,0,2,0,4,7,4,9,3
Stetson,atlantic-sun,157,-0.357142857,0,4,0,1,6,7,9,1
Stonehill,northeast,314,-1.366666667,0,3,0,2,0,1,13,11
Stony Brook,colonial,328,-1.741935484,0,4,0,2,0,9,9,7
Syracuse,acc,127,-0.03125,0,7,1,5,8,1,8,2
Tarleton St,wac,161,-0.551724138,0,4,1,5,6,5,6,2
TCU,big-12,27,1.28125,8,10,5,0,0,0,8,1
Temple,aac,120,-0.096774194,3,2,3,5,4,6,6,2
Tenn State,ovc,280,-1.25,0,0,0,2,1,2,13,10
Tenn Tech,ovc,272,-1.433333333,0,1,0,2,0,5,13,9
Tennessee,sec,3,1.375,7,6,3,3,6,0,7,0
Tenn-Martin,ovc,251,-1.068965517,0,1,0,2,0,3,15,8
Texas,big-12,9,1.838709677,11,8,4,0,1,0,7,0
Texas A&M,sec,22,1.290322581,6,5,4,1,6,0,7,2
Texas A&M-CC,southland,176,-0.344827586,0,3,0,0,1,1,18,6
Texas Southern,swac,309,-1.6,0,4,1,3,0,2,9,11
Texas State,sun-belt,192,-0.90625,0,1,3,5,2,8,9,4
Texas Tech,big-12,64,0.4375,5,13,0,3,2,0,9,0
Texas-Arlington,wac,250,-1.379310345,0,3,2,4,4,11,2,3
